Datetime,COMED_MW,DAYTON_MW,PJME_MW
2018-08-02T01:00:00Z,11916,1789,34283
2018-08-02T02:00:00Z,11095,1717,32094
2018-08-02T03:00:00Z,10530,1632,30543
2018-08-02T04:00:00Z,10165,1605,29791
2018-08-02T05:00:00Z,9931,1604,29854
2018-08-02T06:00:00Z,9996,1684,31197
2018-08-02T07:00:00Z,10482,1820,33182
2018-08-02T08:00:00Z,11200,1927,35645
2018-08-02T09:00:00Z,12179,2023,37810
2018-08-02T10:00:00Z,13042,2107,39902
2018-08-02T11:00:00Z,13828,2226,42189
2018-08-02T12:00:00Z,14790,2315,43954
2018-08-02T13:00:00Z,15527,2429,45372
2018-08-02T14:00:00Z,16074,2525,46534
2018-08-02T15:00:00Z,16584,2576,47154
2018-08-02T16:00:00Z,16869,2594,46989
2018-08-02T17:00:00Z,17015,2626,46816
2018-08-02T18:00:00Z,17068,2624,46760
2018-08-02T19:00:00Z,16897,2600,45641
2018-08-02T20:00:00Z,16437,2554,44057
2018-08-02T21:00:00Z,15590,2481,43256
2018-08-02T22:00:00Z,15086,2405,41552
2018-08-02T23:00:00Z,14448,2250,38500
2018-08-03T00:00:00Z,13335,2042,35486
2018-08-01T04:00:00Z,9374,1613,28249
2018-08-01T05:00:00Z,9156,1626,28481
2018-08-01T06:00:00Z,9270,1697,30035
2018-08-01T07:00:00Z,9753,1851,32365
2018-08-01T08:00:00Z,10466,1950,34741
2018-08-01T09:00:00Z,11424,2032,36765
2018-08-01T10:00:00Z,12294,2068,38572
2018-08-01T11:00:00Z,13025,2122,40316
2018-08-01T12:00:00Z,13814,2140,42403
2018-08-01T13:00:00Z,14516,2183,43887
2018-08-01T14:00:00Z,15203,2247,45313
2018-08-01T15:00:00Z,15881,2311,46430
2018-08-01T16:00:00Z,16123,2314,47867
2018-08-01T17:00:00Z,15766,2377,48855
2018-08-01T18:00:00Z,15574,2433,49308
2018-08-01T19:00:00Z,15569,2402,48428
2018-08-01T20:00:00Z,15122,2349,46912
2018-08-01T21:00:00Z,14449,2270,45985
2018-08-01T22:00:00Z,14246,2257,44094
2018-08-01T23:00:00Z,13778,2118,40666
2018-08-02T00:00:00Z,12892,1924,37158
